X,CH1,Start,Increment,
Sequence,Volt,-1.200000e-07,2.000000e-10
0,0.00e+00,
1,0.00e+00,
2,-4.00e-04,
3,-4.00e-04,
4,0.00e+00,
5,0.00e+00,
6,0.00e+00,
7,0.00e+00,
8,0.00e+00,
9,0.00e+00,
10,0.00e+00,
11,0.00e+00,
12,0.00e+00,
13,0.00e+00,
14,4.00e-04,
15,4.00e-04,
16,4.00e-04,
17,4.00e-04,
18,4.00e-04,
19,4.00e-04,
20,8.00e-04,
21,8.00e-04,
22,4.00e-04,
23,4.00e-04,
24,4.00e-04,
25,4.00e-04,
26,0.00e+00,
27,0.00e+00,
28,8.00e-04,
29,8.00e-04,
30,4.00e-04,
31,4.00e-04,
32,8.00e-04,
33,8.00e-04,
34,8.00e-04,
35,8.00e-04,
36,4.00e-04,
37,4.00e-04,
38,0.00e+00,
39,0.00e+00,
40,0.00e+00,
41,0.00e+00,
42,4.00e-04,
43,4.00e-04,
44,4.00e-04,
45,4.00e-04,
46,4.00e-04,
47,4.00e-04,
48,8.00e-04,
49,8.00e-04,
50,4.00e-04,
51,4.00e-04,
52,4.00e-04,
53,4.00e-04,
54,8.00e-04,
55,8.00e-04,
56,4.00e-04,
57,4.00e-04,
58,0.00e+00,
59,0.00e+00,
60,4.00e-04,
61,4.00e-04,
62,0.00e+00,
63,0.00e+00,
64,4.00e-04,
65,4.00e-04,
66,4.00e-04,
67,4.00e-04,
68,4.00e-04,
69,4.00e-04,
70,8.00e-04,
71,8.00e-04,
72,4.00e-04,
73,4.00e-04,
74,4.00e-04,
75,4.00e-04,
76,8.00e-04,
77,8.00e-04,
78,4.00e-04,
79,4.00e-04,
80,8.00e-04,
81,8.00e-04,
82,4.00e-04,
83,4.00e-04,
84,8.00e-04,
85,8.00e-04,
86,4.00e-04,
87,4.00e-04,
88,4.00e-04,
89,4.00e-04,
90,4.00e-04,
91,4.00e-04,
92,4.00e-04,
93,4.00e-04,
94,8.00e-04,
95,8.00e-04,
96,4.00e-04,
97,4.00e-04,
98,4.00e-04,
99,4.00e-04,
100,4.00e-04,
101,4.00e-04,
102,0.00e+00,
103,0.00e+00,
104,8.00e-04,
105,8.00e-04,
106,4.00e-04,
107,4.00e-04,
